,year,quarter,ent_code,ent_nombre,pob_total,pob_hombres_total,pob_mujeres_total,pet_hombres_15mas,pet_mujeres_15mas,pea_hombres,pea_mujeres,ing_prom_mes_total,ing_prom_hora_total,periodo
819,2024,4,20,Oaxaca,4242791.0,1983250.0,2259541.0,1446250.0,1738320.0,1047831.0,745561.0,4330.967820665373,28.82126967367772,2024-T4
820,2024,4,21,Puebla,6586805.0,3108170.0,3478635.0,2296655.0,2740787.0,1790785.0,1299264.0,4859.781781406401,28.958659923353856,2024-T4
821,2024,4,22,Querétaro,2530655.0,1193623.0,1337032.0,922104.0,1088156.0,690138.0,549476.0,3805.6970220673943,23.462702553298577,2024-T4
822,2024,4,23,Quintana Roo,1917252.0,930619.0,986633.0,736818.0,779327.0,601859.0,400228.0,8319.330281776061,49.71791014471743,2024-T4
823,2024,4,24,San Luis Potosí,2874010.0,1368500.0,1505510.0,1029038.0,1181727.0,787976.0,530779.0,5385.166462052086,34.61973944144134,2024-T4
824,2024,4,25,Sinaloa,3169760.0,1536888.0,1632872.0,1183549.0,1315460.0,857101.0,622624.0,8369.34628968191,54.638274612931816,2024-T4
825,2024,4,26,Sonora,3039967.0,1472856.0,1567111.0,1140013.0,1235494.0,827865.0,620307.0,7253.40407817546,43.82354304431559,2024-T4
826,2024,4,27,Tabasco,2537961.0,1217670.0,1320291.0,929206.0,1026824.0,716594.0,434197.0,6602.942290643476,47.09217023695436,2024-T4
827,2024,4,28,Tamaulipas,3575756.0,1708634.0,1867122.0,1339475.0,1487269.0,985071.0,693917.0,8637.2094923144,54.32501775139556,2024-T4
828,2024,4,29,Tlaxcala,1469900.0,695476.0,774424.0,525180.0,607270.0,397288.0,291563.0,5422.4533396304,33.16105032319148,2024-T4
829,2024,4,30,Veracruz,8093517.0,3750728.0,4342789.0,2862920.0,3504477.0,2136760.0,1336058.0,5400.240561586418,34.20160511019121,2024-T4
830,2024,4,31,Yucatán,2375403.0,1155685.0,1219718.0,910122.0,983195.0,710284.0,518923.0,7492.127023520273,49.16285171577329,2024-T4
831,2024,4,32,Zacatecas,1674227.0,799003.0,875224.0,582125.0,669403.0,427214.0,253365.0,5624.059159178657,34.807145009293635,2024-T4
